"acceptus –a –um"	"acceptus –a –um"	"welcome, acceptable, pleasing"	"welcome, acceptable, pleasing"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#acceptus"	"6092"
"accessio –onis f."	"accessiō –ōnis f."	"a coming to, approach"	"a going or coming to or near, an approach; an increase, addition"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#accessio"	"6575"
"accessus –us m."	"accessus –ūs m."	"going near to"	"a going near to; an access, approach (> accedo)"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#accessus"	"7186"
"accido accidere accidi accisus"	"accīdō accīdere accīdī accīsus"	"to cut into"	"to cut into, or up; cut; eat into, devour, consume (> ad and caedo)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accido"	"3025"
"accido accidere accidi –––"	"accidō accidere accidī –––"	"to fall; happen"	"to fall, befall, happen"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accido"	"525"
"accingo –ere –cinxi –cinctus"	"accingō –ere –cīnxī –cīnctus"	"to gird on"	"to gird on; gird; arm, equip; make one’s self ready; prepare; resort to (> ad and cingo)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accingo"	"3025"
"accio –ire –civi –citus"	"acciō –īre –cīvī –cītus"	"to summon"	"to summon, call (> ad and cieo)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accio"	"3501"
"accipio accipere accepi acceptus"	"accipiō accipere accēpī acceptus"	"to receive"	"to receive; accept; hear (of), learn (of)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accipio"	"109"
"accipiter –tris m."	"accipiter –tris m."	"hawk"	"a hawk"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#accipiter"	"5645"
"accitus –us m."	"accītus –ūs m."	"summons"	"a summons, call; used only in the abl. sing. (> accio)"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#accitus"	"9174"
"acclinis –e"	"acclīnis –e"	"leaning on or against"	"leaning on or against"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#acclinis"	"11140"
"acclino –are"	"acclinō –āre"	"rest on; lean on "	"rest on; lean on  (perf. part. intrans. and present resting, leaning)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#acclino"	"11140"
"acclivis –e"	"acclīvis –e"	"ascending, steep"	"up–hill, ascending, steep"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#acclivis"	"6092"
"acclivitas –atis f. "	"acclīvitās –ātis f. "	"an ascent"	"an ascent, rising grade, acclivity"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#acclivitas"	"11140"
"accola –ae m./f."	"accola –ae m./f."	"neighbor"	"a neighbor (> accolo)"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#accola"	"11140"
"accolo –ere –colui –cultus"	"accolō –ere –coluī –cultus"	"to dwell near or by"	"to dwell near or by (> ad and colo)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accolo"	"9174"
"accommodatus –a –um"	"accommodātus –a –um"	"suitable, appropriate to"	"fitted, fit, suitable, adapted, appropriate to, in accordance with"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#accommodatus"	"7186"
"accommodo accommodare accommodavi accommodatus"	"accommodō accommodāre accommodāvī accommodātus"	"to fit one thing to another"	"to fit one thing to another; to buckle, gird (> ad and commodo)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accommodo"	"4475"
"accommodus –a –um"	"accommodus –a –um"	"fit"	"fit, suitable (> ad and commodus)"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#accommodus"	"9174"
